Stn Id,Stn Name,CIMIS Region,Jan ETo (in),Feb ETo (in),Mar ETo (in),Apr ETo (in),May ETo (in),Jun ETo (in),Jul ETo (in),Aug ETo (in),Sep ETo (in),Oct ETo (in),Nov ETo (in),Dec ETo (in),Total ETo (in)
227,Plymouth,Sierra Foothill,1.46,1.94,2.98,4.47,5.81,7.09,7.54,6.96,5.04,3.38,1.68,1.18,49.53
228,Diamond Springs,Sierra Foothill,1.66,2.22,3.25,4.83,6.26,7.68,8.44,7.76,5.67,3.75,1.94,1.34,54.8
229,Laguna Seca,Monterey Bay,1.66,2.24,3.31,4.29,4.58,5.25,5.32,4.81,3.97,3.19,1.92,1.49,42.03
231,Lompoc,Central Coast Valleys,2.13,2.43,3.68,4.65,5.39,4.80,4.51,3.92,3.12,2.64,1.70,1.52,40.49
232,Santa Maria II,Central Coast Valleys,2.14,2.71,3.92,4.76,5.57,5.58,5.58,5.12,4.30,3.56,2.33,1.78,47.35
233,Joshua Tree,San Bernardino,--,--,--,--,--,--,--,--,--,--,--,--,
234,Newberry Springs II,San Bernardino,2.32,3.81,6.30,8.07,9.18,10.92,10.51,9.96,7.58,5.38,3.54,2.31,79.88
235,Verona,Sacramento Valley,1.32,2.12,3.46,5.35,6.83,7.51,7.76,6.71,4.99,3.61,1.75,1.21,52.62
236,Macdoel II,Northeast Plateau,0.98,1.74,2.86,4.46,5.63,7.37,7.76,6.79,4.55,2.86,1.39,0.90,47.29
237,Temecula East III,South Coast Valleys,2.66,3.24,4.75,5.89,6.37,7.60,7.66,7.66,6.07,4.90,3.42,2.40,62.62
239,Hemet,South Coast Valleys,2.12,2.95,4.63,6.04,6.13,8.22,8.67,8.34,6.22,4.83,3.13,2.12,63.4
240,Perris - Menifee,South Coast Valleys,2.30,2.89,4.47,5.85,6.30,7.96,8.12,7.66,5.85,4.45,2.84,2.15,60.84
241,San Clemente,South Coast Valleys,2.34,2.61,3.82,4.82,5.21,5.73,6.21,6.00,4.77,3.64,2.63,2.07,49.85
242,Staten Island,San Joaquin Valley,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
243,Ryde,Sacramento Valley,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
244,Biggs,Sacramento Valley,1.20,1.90,3.39,5.26,6.75,7.75,8.18,7.17,5.26,3.68,1.90,1.19,53.63
245,Coto de Caza,South Coast Valleys,2.34,2.61,3.82,4.82,5.21,5.73,6.21,6.00,4.77,3.64,2.63,2.07,49.85
246,Markleeville,Eastern Sierra Basin & Range,1.14,1.89,3.62,5.10,6.56,7.78,8.59,7.63,5.39,3.36,1.62,0.94,53.62
247,Jersey Island,San Francisco Bay,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
248,Holt,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
249,Ripon,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
250,Williams,Sacramento Valley,1.20,1.90,3.39,5.26,6.75,7.75,8.18,7.17,5.26,3.68,1.90,1.19,53.63
251,Highland,Los Angeles Basin,2.48,2.91,4.39,5.29,6.13,6.82,6.93,7.09,5.50,4.05,2.79,2.29,56.67
252,Soledad II,Monterey Bay,1.79,2.38,3.99,5.33,6.52,7.02,6.93,6.19,4.85,3.68,2.15,1.57,52.4
253,Pescadero,San Francisco Bay,1.56,1.93,3.11,4.09,4.50,4.92,4.44,4.21,3.56,2.87,1.84,1.47,38.5
254,Oakland Metro,San Francisco Bay,1.37,1.96,3.31,4.44,5.39,6.04,6.23,5.39,4.38,3.08,1.68,1.22,44.49
255,Chino,San Bernardino,1.95,2.41,3.75,4.55,5.19,5.97,6.60,6.41,4.88,3.46,2.31,1.72,49.2
256,Lancaster,Los Angeles Basin,2.26,3.11,4.95,6.59,8.22,9.24,9.62,8.50,6.42,4.56,2.90,2.00,68.37
257,Ridgecrest,Bishop,2.22,3.04,5.40,7.13,9.16,10.05,9.69,8.54,6.82,4.77,2.74,2.01,71.57
258,Lemon Cove,San Joaquin Valley,1.17,1.83,3.40,4.89,6.79,7.80,8.09,7.22,5.29,3.43,1.72,1.14,52.77
259,Ferndale Plain,North Coast Valleys,1.56,1.93,3.11,4.09,4.50,4.92,4.44,4.21,3.56,2.87,1.84,1.47,38.5
260,Montague,Northeast Plateau,0.89,1.57,3.02,4.41,5.94,7.30,8.14,7.09,4.96,2.97,1.22,0.82,48.33
261,Gazelle,Northeast Plateau,0.89,1.57,3.02,4.41,5.94,7.30,8.14,7.09,4.96,2.97,1.22,0.82,48.33
262,Linden,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
